t, v, x
0,0.99000016625,0.009950000416666667
0.01,0.980001326666736,0.019800006641666805
0.02,0.9700044662509546,0.02955003355000374
0.03,0.9600105600055525,0.039200105816697355
0.04,0.9500205729380431,0.04875025781681713
0.05,0.940035460063993,0.0582005335255447
0.06,0.9300561664114189,0.0675509864182755
0.07,0.9200836270261342,0.07680167937076934
0.08,0.9101187669780361,0.08595268455935891
0.09,0.9001625013683214,0.09500408336122598
0.1,0.8902157353376249,0.10395596625475433
0.11,0.8802793640750648,0.11280843271996856
0.12,0.8703542728281912,0.12156159113906798
0.13,0.8604413369138227,0.13021555869706433
0.14,0.8505414217297645,0.13877046128253234
0.15,0.840655382767396,0.14722643338848185
0.16,0.8307840656251197,0.15558361801336
0.17,0.82092830602266,0.16384216656219228
0.18,0.8110889298162028,0.17200223874787085
0.19,0.8012667530143665,0.18006400249259819
0.2,0.7914625817949924,0.18802763382949472
0.21,0.7816772125227484,0.19589331680437846
0.22,0.7719114317675316,0.20366124337772457
0.23,0.7621660163236647,0.21133161332681294
0.24,0.7524417332298716,0.2189046341480718
0.25,0.7427393397900275,0.2263805209596247
0.26,0.7330595835946689,0.23375949640404903
0.27,0.723403202543258,0.24104179055135333
0.28,0.7137709248671877,0.24822764080218093
0.29,0.7041634691535222,0.25531729179124735
0.3,0.6945815443694586,0.26231099529101876
0.31,0.6850258498875039,0.2692090101156385
0.32,0.6754970755113554,0.2760116020251092
0.33,0.665995901502476,0.2827190436297367
0.34,0.6565229986073544,0.2893316142948438
0.35000000000000003,0.6470790280854408,0.29584960004575916
0.36,0.6376646417377488,0.30227329347308995
0.37,0.6282804819361136,0.30860299363828275
0.38,0.6189271816530971,0.314839005979481
0.39,0.6096053644925313,0.3209816422176843
0.4,0.6003156447206895,0.32703122026321674
0.41000000000000003,0.5910586272980766,0.3329880641225093
0.42,0.5818349079118286,0.33885250380520415
0.43,0.5726450730087134,0.3446248752315851
0.44,0.5634896998287217,0.3503055201403415
0.45,0.55436935643924,0.355894785996671
0.46,0.5452846017697968,0.36139302590072653
0.47000000000000003,0.5362359856473712,0.3668005984964139
0.48,0.5272240488322572,0.37211786788054513
0.49,0.5182493230544721,0.3773452035123534
0.5,0.5093123310507023,0.3824829801233742
0.51,0.5004135866017748,0.38753157762769935
0.52,0.49155359457064873,0.39249138103260756
0.53,0.48273285094091484,0.39736278034957806
0.54,0.47395184285579606,0.40214617050569146
0.55,0.46521104865763946,0.40684195125542305
0.56,0.456510937927891,0.4114505270928336
0.5700000000000001,0.4478519715275441,0.4159723071641622
0.58,0.4392346016380537,0.42040770518082593
0.59,0.43065927180270663,0.4247571393328308
0.6,0.4221264169684397,0.429021032202599
0.61,0.4136364635280975,0.43319981067921626
0.62,0.4051898293631205,0.43729390587310385
0.63,0.3967869238866552,0.44130375303111996
0.64,0.38842814808707854,0.445229791452094
0.65,0.3801138945719266,0.44907246440279813
0.66,0.37184454761222097,0.45283221903436016
0.67,0.3636204831871828,0.4565095062991218
0.68,0.3554420690293278,0.46010478086794554
0.6900000000000001,0.3473096646699321,0.463618501047975
0.7000000000000001,0.33922362148486285,0.4670511287008509
0.71,0.33118428274076317,0.4704031291613882
0.72,0.3231919836415854,0.4736749711567157
0.73,0.31524705137546294,0.4768671267258835
0.74,0.3073498051619134,0.47998007113994046
0.75,0.2995005562993653,0.48301428282248543
0.76,0.29169960821299945,0.4859702432706954
0.77,0.2839472565028983,0.4888484369768332
0.78,0.2762437889924944,0.49164935135023907
0.79,0.2685894857773106,0.494373476639807
0.8,0.2609846192739845,0.497021305856951
0.81,0.2534294542695687,0.4995933346990622
0.8200000000000001,0.2459242479711002,0.5020900614734608
0.8300000000000001,0.23846925005543032,0.504511987021845
0.84,0.23106470271930815,0.5068596146452388
0.85,0.22371084072971026,0.509133450029443
0.86,0.21640789147440853,0.51133400117099
0.87,0.20915607501276923,0.5134617783036053
0.88,0.2019556041267757,0.5155172938251785
0.89,0.19480668437226775,0.5175010622252458
0.9,0.18770951413038972,0.5194136000129851
0.91,0.180664284659241,0.5212554256457275
0.92,0.17367118014572117,0.5230270594579857
0.93,0.16673037775756275,0.5247290235910023
0.9400000000000001,0.15984204769554486,0.5263618419228188
0.9500000000000001,0.15300635324588036,0.5279260399988678
0.96,0.14622345083276986,0.5294221449630904
0.97,0.13949349007111556,0.5308506854895789
0.98,0.13281661381938803,0.5322121917147485
0.99,0.12619295823263937,0.533507195170038
1,0.11962265281565575,0.5347362287151405
1.01,0.1131058204762428,0.535899826471768
1.02,0.10664257757863735,0.5369985237579482
1.03,0.10023303399703853,0.5380328570228561
1.04,0.09387729316925228,0.539003363782182
1.05,0.0875754521504423,0.5399105825540365
1.06,0.08132760166698139,0.5407550527953925
1.07,0.07513382617039659,0.5415373148390679
1.08,0.06899420389140194,0.5422579098312462
1.09,0.06290880689401263,0.54291737966954
1.1,0.05687770112973415,0.5435162669415939
1.11,0.05090094649182065,0.5440551148642312
1.12,0.044978596869596064,0.5445344672231428
1.1300000000000001,0.0391107002028322,0.5449548683131198
1.1400000000000001,0.033297298536177716,0.5453168628788299
1.1500000000000001,0.027538428073632104,0.5456209960561386
1.16,0.02183411923305879,0.5458678133139754
1.17,0.016184396700731546,0.5460578603967451
1.18,0.01058927948590846,0.5461916832672844
1.19,0.005048780975427741,0.5462698280503653
1.2,-0.0004370910116802615,0.5462928409767432
1.21,-0.005868334169570452,0.5462612683277529
1.22,-0.011244951650955307,0.5461756563804488
1.23,-0.016566952012477622,0.5460365513532935
1.24,-0.02183434916008912,0.5458444993523908
